Number of Features,Accuracy,F1 Score
1,0.8435804701627486,0.8527659574468085
2,0.8453887884267631,0.8549618320610687
3,0.8535262206148282,0.8613013698630136
4,0.8499095840867993,0.8588435374149661
5,0.8598553345388789,0.8669527896995708
6,0.8544303797468354,0.8615649183147033
7,0.8571428571428571,0.8656462585034014
8,0.8508137432188065,0.8571428571428572
9,0.8526220614828209,0.8596037898363479
10,0.8544303797468354,0.8613264427217916
11,0.8625678119349005,0.8687392055267703
12,0.8616636528028933,0.8697872340425532
13,0.8679927667269439,0.8743545611015491
14,0.8580470162748643,0.8661551577152601
15,0.8580470162748643,0.8647717484926787
16,0.8526220614828209,0.8600858369098713
17,0.8616636528028933,0.8697872340425532
18,0.8598553345388789,0.8667239896818573
19,0.8616636528028933,0.8686695278969957
20,0.8535262206148282,0.8617747440273037
21,0.8580470162748643,0.8661551577152601
22,0.8571428571428571,0.8640275387263339
23,0.8607594936708861,0.8681506849315067
24,0.8589511754068716,0.8664383561643836
25,0.8598553345388789,0.8667239896818573
26,0.8571428571428571,0.8656462585034014
27,0.8598553345388789,0.8664944013781223
28,0.8616636528028933,0.8688946015424164
29,0.8589511754068716,0.8657487091222031
30,0.8616636528028933,0.8688946015424164
31,0.8634719710669078,0.8706083976006855
32,0.85623869801085,0.8642186165670368
33,0.8517179023508138,0.858376511226252
34,0.8607594936708861,0.8681506849315067
35,0.8535262206148282,0.8617747440273037
